ID,Classification 1,Classification 2,Resolution,match,Final Classification
TRANSFORMATION_51,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_52,TRUE_NEW_OVER,TRUE_NEW_OVER,,TRUE,TRUE_NEW_OVER
TRANSFORMATION_53,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_54,TRUE_NEW_OVER,TRUE_NEW,TRUE_NEW_OVER,TRUE,TRUE_NEW_OVER
TRANSFORMATION_55,TRUE_NEW_OVER,TRUE_NEW_OVER,,TRUE,TRUE_NEW_OVER
TRANSFORMATION_56,TRUE_NEW,FALSE,FALSE,TRUE,FALSE
TRANSFORMATION_57,TRUE_NEW_OVER,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
TRANSFORMATION_58,TRUE_NEW_OVER,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
TRANSFORMATION_59,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_60,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_61,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_62,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_63,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_64,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_65,FALSE,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
TRANSFORMATION_66,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_67,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_68,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_69,TRUE_NEW,TRUE_NEW_UNDER,TRUE_UNDER,TRUE,TRUE_UNDER
TRANSFORMATION_70,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_71,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_72,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_73,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_74,FALSE,FALSE,,TRUE,FALSE
